orf_name,Class D,Class C,Class B,Class A
chr_4216,K00540  fqr; F420H(2)-dependent quinone reductase,99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_4225,K04343  strB; streptomycin 6-kinase,01504 Antimicrobial resistance genes,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4232,"K02493  hemK, prmC, HEMK; release factor glutamine methyltransferase",03012 Translation factors,Protein families: genetic information processing,Brite Hierarchies
chr_4237,K01191  MAN2C1; alpha-mannosidase,00511 Other glycan degradation,Glycan biosynthesis and metabolism,Metabolism
chr_4237,K01191  MAN2C1; alpha-mannosidase,04131 Membrane trafficking,Protein families: genetic information processing,Brite Hierarchies
chr_4245,"K16167  bpsA, srsA, pks11, pks10; alkylresorcinol/alkylpyrone synthase",01008 Polyketide biosynthesis proteins,Protein families: metabolism,Brite Hierarchies
chr_4254,"K03892  arsR; ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_4260,"K01867  WARS, trpS; tryptophanyl-tRNA synthetase",00970 Aminoacyl-tRNA biosynthesis,Translation,Genetic Information Processing
chr_4260,"K01867  WARS, trpS; tryptophanyl-tRNA synthetase",01007 Amino acid related enzymes,Protein families: metabolism,Brite Hierarchies
chr_4260,"K01867  WARS, trpS; tryptophanyl-tRNA synthetase",03016 Transfer RNA biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_4263,K18234  vat; virginiamycin A acetyltransferase,01504 Antimicrobial resistance genes,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4266,"K08166  mmr; MFS transporter, DHA2 family, methylenomycin A resistance protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4274,"K03088  rpoE; RNA polymerase sigma-70 factor, ECF subfamily",03021 Transcription machinery,Protein families: genetic information processing,Brite Hierarchies
chr_4276,K00024  mdh; malate dehydrogenase,00710 Carbon fixation in photosynthetic organisms,Energy metabolism,Metabolism
chr_4276,K00024  mdh; malate dehydrogenase,00720 Carbon fixation pathways in prokaryotes,Energy metabolism,Metabolism
chr_4276,K00024  mdh; malate dehydrogenase,00620 Pyruvate metabolism,Carbohydrate metabolism,Metabolism
chr_4276,K00024  mdh; malate dehydrogenase,00020 Citrate cycle (TCA cycle),Carbohydrate metabolism,Metabolism
chr_4276,K00024  mdh; malate dehydrogenase,00270 Cysteine and methionine metabolism,Amino acid metabolism,Metabolism
chr_4276,K00024  mdh; malate dehydrogenase,00680 Methane metabolism,Energy metabolism,Metabolism
chr_4276,K00024  mdh; malate dehydrogenase,00630 Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Metabolism
chr_4297,K07492  K07492; putative transposase,99976 Replication and repair,Unclassified: genetic information processing,Not Included in Pathway or Brite
chr_4304,"K00573  E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase",99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_4306,K03649  mug; double-stranded uracil-DNA glycosylase,03410 Base excision repair,Replication and repair,Genetic Information Processing
chr_4306,K03649  mug; double-stranded uracil-DNA glycosylase,03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_4310,"K01426  E3.5.1.4, amiE; amidase",00330 Arginine and proline metabolism,Amino acid metabolism,Metabolism
chr_4310,"K01426  E3.5.1.4, amiE; amidase",00627 Aminobenzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4310,"K01426  E3.5.1.4, amiE; amidase",00380 Tryptophan metabolism,Amino acid metabolism,Metabolism
chr_4310,"K01426  E3.5.1.4, amiE; amidase",00360 Phenylalanine metabolism,Amino acid metabolism,Metabolism
chr_4310,"K01426  E3.5.1.4, amiE; amidase",00643 Styrene degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4313,K04763  xerD; integrase/recombinase XerD,03036 Chromosome and associated proteins,Protein families: genetic information processing,Brite Hierarchies
chr_4320,K08963  mtnA; methylthioribose-1-phosphate isomerase,00270 Cysteine and methionine metabolism,Amino acid metabolism,Metabolism
chr_4321,"K09880  mtnC, ENOPH1; enolase-phosphatase E1",00270 Cysteine and methionine metabolism,Amino acid metabolism,Metabolism
chr_4322,K08964  mtnB; methylthioribulose-1-phosphate dehydratase,00270 Cysteine and methionine metabolism,Amino acid metabolism,Metabolism
chr_4323,"K08967  mtnD, mtnZ, ADI1; 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",00270 Cysteine and methionine metabolism,Amino acid metabolism,Metabolism
chr_4335,K01265  map; methionyl aminopeptidase,01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
chr_4340,K06153  bacA; undecaprenyl-diphosphatase,00550 Peptidoglycan biosynthesis,Glycan biosynthesis and metabolism,Metabolism
chr_4340,K06153  bacA; undecaprenyl-diphosphatase,01011 Peptidoglycan biosynthesis and degradation proteins,Protein families: metabolism,Brite Hierarchies
chr_4345,"K03800  lplA, lplJ, lipL1; lipoate---protein ligase",00785 Lipoic acid metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_4359,K07009  gatD; lipid II isoglutaminyl synthase (glutamine-hydrolysing),00550 Peptidoglycan biosynthesis,Glycan biosynthesis and metabolism,Metabolism
chr_4360,K23393  murT; lipid II isoglutaminyl synthase (glutamine-hydrolysing),00550 Peptidoglycan biosynthesis,Glycan biosynthesis and metabolism,Metabolism
chr_4363,K21687  rpfA; resuscitation-promoting factor RpfA,99986 Glycan metabolism,Unclassified: metabolism,Not Included in Pathway or Brite
chr_4366,"K00124  fdoH, fdsB; formate dehydrogenase iron-sulfur subunit",00680 Methane metabolism,Energy metabolism,Metabolism
chr_4366,"K00124  fdoH, fdsB; formate dehydrogenase iron-sulfur subunit",00630 Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Metabolism
chr_4367,"K00123  fdoG, fdhF, fdwA; formate dehydrogenase major subunit",00680 Methane metabolism,Energy metabolism,Metabolism
chr_4367,"K00123  fdoG, fdhF, fdwA; formate dehydrogenase major subunit",00630 Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Metabolism
chr_4370,K07006  K07006; uncharacterized protein,99997 Function unknown,Poorly characterized,Not Included in Pathway or Brite
chr_4371,K01042  selA; L-seryl-tRNA(Ser) seleniumtransferase,00450 Selenocompound metabolism,Metabolism of other amino acids,Metabolism
chr_4371,K01042  selA; L-seryl-tRNA(Ser) seleniumtransferase,00970 Aminoacyl-tRNA biosynthesis,Translation,Genetic Information Processing
chr_4372,"K03833  selB, EEFSEC; selenocysteine-specific elongation factor",03012 Translation factors,Protein families: genetic information processing,Brite Hierarchies
chr_4373,K10979  ku; DNA end-binding protein Ku,03450 Non-homologous end-joining,Replication and repair,Genetic Information Processing
chr_4373,K10979  ku; DNA end-binding protein Ku,03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_4374,"K02613  paaE; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE",00360 Phenylalanine metabolism,Amino acid metabolism,Metabolism
chr_4375,"K02612  paaD; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD",00360 Phenylalanine metabolism,Amino acid metabolism,Metabolism
chr_4376,"K02611  paaC; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC",00360 Phenylalanine metabolism,Amino acid metabolism,Metabolism
chr_4377,"K02610  paaB; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB",00360 Phenylalanine metabolism,Amino acid metabolism,Metabolism
chr_4378,"K02609  paaA; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA",00360 Phenylalanine metabolism,Amino acid metabolism,Metabolism
chr_4379,"K02618  paaZ; oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase",00360 Phenylalanine metabolism,Amino acid metabolism,Metabolism
chr_4380,K02614  paaI; acyl-CoA thioesterase,00360 Phenylalanine metabolism,Amino acid metabolism,Metabolism
chr_4381,K01912  paaK; phenylacetate-CoA ligase,00360 Phenylalanine metabolism,Amino acid metabolism,Metabolism
chr_4381,K01912  paaK; phenylacetate-CoA ligase,05111 Biofilm formation - Vibrio cholerae,Cellular community - prokaryotes,Cellular Processes
chr_4384,K02291  crtB; 15-cis-phytoene synthase,00906 Carotenoid biosynthesis,Metabolism of terpenoids and polyketides,Metabolism
chr_4384,K02291  crtB; 15-cis-phytoene synthase,01006 Prenyltransferases,Protein families: metabolism,Brite Hierarchies
chr_4387,K01342  aprE; subtilisin,03110 Chaperones and folding catalysts,Protein families: genetic information processing,Brite Hierarchies
chr_4387,K01342  aprE; subtilisin,01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
chr_4396,K06177  rluA; tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase,03009 Ribosome biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_4396,K06177  rluA; tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase,03016 Transfer RNA biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_4397,"K05799  pdhR; GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_4399,"K01039  gctA; glutaconate CoA-transferase, subunit A",00650 Butanoate metabolism,Carbohydrate metabolism,Metabolism
chr_4399,"K01039  gctA; glutaconate CoA-transferase, subunit A",00643 Styrene degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4401,K06446  DCAA; acyl-CoA dehydrogenase,00930 Caprolactam degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4403,K18291  ich-P; itaconyl-CoA hydratase / mesaconyl-C4 CoA hydratase,00660 C5-Branched dibasic acid metabolism,Carbohydrate metabolism,Metabolism
chr_4413,"K00826  E2.6.1.42, ilvE; branched-chain amino acid aminotransferase","00290 Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism
chr_4413,"K00826  E2.6.1.42, ilvE; branched-chain amino acid aminotransferase","00280 Valine, leucine and isoleucine degradation",Amino acid metabolism,Metabolism
chr_4413,"K00826  E2.6.1.42, ilvE; branched-chain amino acid aminotransferase",00770 Pantothenate and CoA biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_4413,"K00826  E2.6.1.42, ilvE; branched-chain amino acid aminotransferase",00270 Cysteine and methionine metabolism,Amino acid metabolism,Metabolism
chr_4413,"K00826  E2.6.1.42, ilvE; branched-chain amino acid aminotransferase",01007 Amino acid related enzymes,Protein families: metabolism,Brite Hierarchies
chr_4416,K01666  mhpE; 4-hydroxy 2-oxovalerate aldolase,00362 Benzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4416,K01666  mhpE; 4-hydroxy 2-oxovalerate aldolase,00621 Dioxin degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4416,K01666  mhpE; 4-hydroxy 2-oxovalerate aldolase,00622 Xylene degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4416,K01666  mhpE; 4-hydroxy 2-oxovalerate aldolase,00360 Phenylalanine metabolism,Amino acid metabolism,Metabolism
chr_4417,K11517  HAO; (S)-2-hydroxy-acid oxidase,00630 Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Metabolism
chr_4417,K11517  HAO; (S)-2-hydroxy-acid oxidase,04146 Peroxisome,Transport and catabolism,Cellular Processes
chr_4422,K00279  CKX; cytokinin dehydrogenase,00908 Zeatin biosynthesis,Metabolism of terpenoids and polyketides,Metabolism
chr_4423,K11103  dctA; aerobic C4-dicarboxylate transport protein,02020 Two-component system,Signal transduction,Environmental Information Processing
chr_4423,K11103  dctA; aerobic C4-dicarboxylate transport protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4424,"K14415  RTCB, rtcB; tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy nucleic acid ligase)",03016 Transfer RNA biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_4431,"K07785  nrsD, nreB; MFS transporter, NRE family, putaive nickel resistance protein",02020 Two-component system,Signal transduction,Environmental Information Processing
chr_4431,"K07785  nrsD, nreB; MFS transporter, NRE family, putaive nickel resistance protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4432,"K00507  SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase)",01040 Biosynthesis of unsaturated fatty acids,Lipid metabolism,Metabolism
chr_4432,"K00507  SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase)",04152 AMPK signaling pathway,Signal transduction,Environmental Information Processing
chr_4432,"K00507  SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase)",03320 PPAR signaling pathway,Endocrine system,Organismal Systems
chr_4432,"K00507  SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase)",04212 Longevity regulating pathway - worm,Aging,Organismal Systems
chr_4432,"K00507  SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase)",01004 Lipid biosynthesis proteins,Protein families: metabolism,Brite Hierarchies
chr_4434,K05794  terC; tellurite resistance protein TerC,99994 Others,Unclassified: signaling and cellular processes,Not Included in Pathway or Brite
chr_4445,"K03088  rpoE; RNA polymerase sigma-70 factor, ECF subfamily",03021 Transcription machinery,Protein families: genetic information processing,Brite Hierarchies
chr_4447,"K01008  selD, SEPHS; selenide, water dikinase",00450 Selenocompound metabolism,Metabolism of other amino acids,Metabolism
chr_4447,"K01008  selD, SEPHS; selenide, water dikinase",03016 Transfer RNA biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_4454,"K00412  CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit",00190 Oxidative phosphorylation,Energy metabolism,Metabolism
chr_4454,"K00412  CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit",02020 Two-component system,Signal transduction,Environmental Information Processing
chr_4454,"K00412  CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit",04260 Cardiac muscle contraction,Circulatory system,Organismal Systems
chr_4454,"K00412  CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit",04714 Thermogenesis,Environmental adaptation,Organismal Systems
chr_4454,"K00412  CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit",05012 Parkinson disease,Neurodegenerative disease,Human Diseases
chr_4454,"K00412  CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit",05016 Huntington disease,Neurodegenerative disease,Human Diseases
chr_4454,"K00412  CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit",04932 Non-alcoholic fatty liver disease (NAFLD),Endocrine and metabolic disease,Human Diseases
chr_4454,"K00412  CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit",05010 Alzheimer disease,Neurodegenerative disease,Human Diseases
chr_4454,"K00412  CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit",03029 Mitochondrial biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_4455,K00784  rnz; ribonuclease Z,03013 RNA transport,Translation,Genetic Information Processing
chr_4455,K00784  rnz; ribonuclease Z,03016 Transfer RNA biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_4456,K02234  cobW; cobalamin biosynthesis protein CobW,00860 Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_4463,K00481  pobA; p-hydroxybenzoate 3-monooxygenase,00362 Benzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4464,K07485  K07485; transposase,99976 Replication and repair,Unclassified: genetic information processing,Not Included in Pathway or Brite
chr_4467,K03704  cspA; cold shock protein,99973 Transcription,Unclassified: genetic information processing,Not Included in Pathway or Brite
chr_4468,K02051  ABC.SN.S; NitT/TauT family transport system substrate-binding protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4469,K15555  ssuB; sulfonate transport system ATP-binding protein,00920 Sulfur metabolism,Energy metabolism,Metabolism
chr_4469,K15555  ssuB; sulfonate transport system ATP-binding protein,02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_4469,K15555  ssuB; sulfonate transport system ATP-binding protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4470,"K15577  nrtB, nasE, cynB; nitrate/nitrite transport system permease protein",00910 Nitrogen metabolism,Energy metabolism,Metabolism
chr_4470,"K15577  nrtB, nasE, cynB; nitrate/nitrite transport system permease protein",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_4470,"K15577  nrtB, nasE, cynB; nitrate/nitrite transport system permease protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4472,"K15735  csiR; GntR family transcriptional regulator, carbon starvation induced regulator",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_4475,"K00001  E1.1.1.1, adh; alcohol dehydrogenase",00830 Retinol metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_4475,"K00001  E1.1.1.1, adh; alcohol dehydrogenase",00350 Tyrosine metabolism,Amino acid metabolism,Metabolism
chr_4475,"K00001  E1.1.1.1, adh; alcohol dehydrogenase",00626 Naphthalene degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4475,"K00001  E1.1.1.1, adh; alcohol dehydrogenase",00010 Glycolysis / Gluconeogenesis,Carbohydrate metabolism,Metabolism
chr_4475,"K00001  E1.1.1.1, adh; alcohol dehydrogenase",00980 Metabolism of xenobiotics by cytochrome P450,Xenobiotics biodegradation and metabolism,Metabolism
chr_4475,"K00001  E1.1.1.1, adh; alcohol dehydrogenase",00982 Drug metabolism - cytochrome P450,Xenobiotics biodegradation and metabolism,Metabolism
chr_4475,"K00001  E1.1.1.1, adh; alcohol dehydrogenase",00625 Chloroalkane and chloroalkene degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4475,"K00001  E1.1.1.1, adh; alcohol dehydrogenase",00071 Fatty acid degradation,Lipid metabolism,Metabolism
chr_4490,K00634  ptb; phosphate butyryltransferase,00650 Butanoate metabolism,Carbohydrate metabolism,Metabolism
chr_4491,"K00249  ACADM, acd; acyl-CoA dehydrogenase",00071 Fatty acid degradation,Lipid metabolism,Metabolism
chr_4491,"K00249  ACADM, acd; acyl-CoA dehydrogenase","00280 Valine, leucine and isoleucine degradation",Amino acid metabolism,Metabolism
chr_4491,"K00249  ACADM, acd; acyl-CoA dehydrogenase",03320 PPAR signaling pathway,Endocrine system,Organismal Systems
chr_4499,K00065  kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase,00040 Pentose and glucuronate interconversions,Carbohydrate metabolism,Metabolism
chr_4511,"K16167  bpsA, srsA, pks11, pks10; alkylresorcinol/alkylpyrone synthase",01008 Polyketide biosynthesis proteins,Protein families: metabolism,Brite Hierarchies
chr_4513,K00568  ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase,00130 Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_4515,"K01754  E4.3.1.19, ilvA, tdcB; threonine dehydratase","00260 Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism
chr_4515,"K01754  E4.3.1.19, ilvA, tdcB; threonine dehydratase","00290 Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism
chr_4523,"K01673  cynT, can; carbonic anhydrase",00910 Nitrogen metabolism,Energy metabolism,Metabolism
chr_4524,"K03429  ugtP; processive 1,2-diacylglycerol beta-glucosyltransferase",00561 Glycerolipid metabolism,Lipid metabolism,Metabolism
chr_4524,"K03429  ugtP; processive 1,2-diacylglycerol beta-glucosyltransferase",01003 Glycosyltransferases,Protein families: metabolism,Brite Hierarchies
chr_4529,K06045  shc; squalene-hopene/tetraprenyl-beta-curcumene cyclase,00909 Sesquiterpenoid and triterpenoid biosynthesis,Metabolism of terpenoids and polyketides,Metabolism
chr_4531,"K02293  PDS, crtP; 15-cis-phytoene desaturase",00906 Carotenoid biosynthesis,Metabolism of terpenoids and polyketides,Metabolism
chr_4532,K02291  crtB; 15-cis-phytoene synthase,00906 Carotenoid biosynthesis,Metabolism of terpenoids and polyketides,Metabolism
chr_4532,K02291  crtB; 15-cis-phytoene synthase,01006 Prenyltransferases,Protein families: metabolism,Brite Hierarchies
chr_4536,"K02066  mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_4536,"K02066  mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4537,"K02066  mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_4537,"K02066  mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4544,K18481  mas; Mce-associated membrane protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4547,K01273  DPEP; membrane dipeptidase,04147 Exosome,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4547,K01273  DPEP; membrane dipeptidase,00537 Glycosylphosphatidylinositol (GPI)-anchored proteins,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4547,K01273  DPEP; membrane dipeptidase,01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
chr_4558,"K01039  gctA; glutaconate CoA-transferase, subunit A",00650 Butanoate metabolism,Carbohydrate metabolism,Metabolism
chr_4558,"K01039  gctA; glutaconate CoA-transferase, subunit A",00643 Styrene degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4559,"K01040  gctB; glutaconate CoA-transferase, subunit B",00643 Styrene degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4559,"K01040  gctB; glutaconate CoA-transferase, subunit B",00650 Butanoate metabolism,Carbohydrate metabolism,Metabolism
chr_4560,"K00449  pcaH; protocatechuate 3,4-dioxygenase, beta subunit",00624 Polycyclic aromatic hydrocarbon degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4560,"K00449  pcaH; protocatechuate 3,4-dioxygenase, beta subunit",00362 Benzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4561,"K00448  pcaG; protocatechuate 3,4-dioxygenase, alpha subunit",00362 Benzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4561,"K00448  pcaG; protocatechuate 3,4-dioxygenase, alpha subunit",00624 Polycyclic aromatic hydrocarbon degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4562,"K01857  pcaB; 3-carboxy-cis,cis-muconate cycloisomerase",00362 Benzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4563,K01055  pcaD; 3-oxoadipate enol-lactonase,00362 Benzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4564,K01607  pcaC; 4-carboxymuconolactone decarboxylase,00362 Benzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4565,"K02624  pcaR; IclR family transcriptional regulator, pca regulon regulatory protein",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_4567,K18928  lldE; L-lactate dehydrogenase complex protein LldE,99981 Carbohydrate metabolism,Unclassified: metabolism,Not Included in Pathway or Brite
chr_4568,K18929  lldF; L-lactate dehydrogenase complex protein LldF,99981 Carbohydrate metabolism,Unclassified: metabolism,Not Included in Pathway or Brite
chr_4570,"K16047  hsaA; 3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase",00984 Steroid degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_4576,"K18888  efrB; ATP-binding cassette, subfamily B, multidrug efflux pump",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_4576,"K18888  efrB; ATP-binding cassette, subfamily B, multidrug efflux pump",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4578,K04477  ycdX; putative hydrolase,99996 General function prediction only,Poorly characterized,Not Included in Pathway or Brite
chr_4579,"K07246  ttuC, dmlA; tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase",00630 Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Metabolism
chr_4579,"K07246  ttuC, dmlA; tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase",00650 Butanoate metabolism,Carbohydrate metabolism,Metabolism
chr_4580,K02069  ABC.X2.P; putative ABC transport system permease protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4590,"K07684  narL; two-component system, NarL family, nitrate/nitrite response regulator NarL",02020 Two-component system,Signal transduction,Environmental Information Processing
chr_4590,"K07684  narL; two-component system, NarL family, nitrate/nitrite response regulator NarL",02022 Two-component system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4601,K18911  egtD; L-histidine Nalpha-methyltransferase,00340 Histidine metabolism,Amino acid metabolism,Metabolism
chr_4602,K07008  egtC; gamma-glutamyl hercynylcysteine S-oxide hydrolase,00340 Histidine metabolism,Amino acid metabolism,Metabolism
chr_4603,K18912  egtB; gamma-glutamyl hercynylcysteine S-oxide synthase,00340 Histidine metabolism,Amino acid metabolism,Metabolism
chr_4604,K01919  gshA; glutamate--cysteine ligase,00270 Cysteine and methionine metabolism,Amino acid metabolism,Metabolism
chr_4604,K01919  gshA; glutamate--cysteine ligase,00480 Glutathione metabolism,Metabolism of other amino acids,Metabolism
chr_4605,"K21962  acnR; TetR/AcrR family transcriptional regulator, transcriptional repressor of aconitase",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_4607,"K01593  DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase",00350 Tyrosine metabolism,Amino acid metabolism,Metabolism
chr_4607,"K01593  DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase",00965 Betalain biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
chr_4607,"K01593  DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase",00950 Isoquinoline alkaloid biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
chr_4607,"K01593  DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase",00360 Phenylalanine metabolism,Amino acid metabolism,Metabolism
chr_4607,"K01593  DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase",00380 Tryptophan metabolism,Amino acid metabolism,Metabolism
chr_4607,"K01593  DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase",00901 Indole alkaloid biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
chr_4607,"K01593  DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase",04726 Serotonergic synapse,Nervous system,Organismal Systems
chr_4607,"K01593  DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase",04361 Axon regeneration,Development and regeneration,Organismal Systems
chr_4607,"K01593  DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase",04728 Dopaminergic synapse,Nervous system,Organismal Systems
chr_4607,"K01593  DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase",05034 Alcoholism,Substance dependence,Human Diseases
chr_4607,"K01593  DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase",05031 Amphetamine addiction,Substance dependence,Human Diseases
chr_4607,"K01593  DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase",05030 Cocaine addiction,Substance dependence,Human Diseases
chr_4607,"K01593  DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase",04147 Exosome,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4611,"K03305  TC.POT; proton-dependent oligopeptide transporter, POT family",99977 Transport,Unclassified: signaling and cellular processes,Not Included in Pathway or Brite
chr_4613,K03699  tlyC; putative hemolysin,02042 Bacterial toxins,Protein families: signaling and cellular processes,Brite Hierarchies
