Reaction ID,Reaction (Long),Reaction (Short),Reversible,Enzyme,Genes,PATHWAY
R03286,ATP + N(pi)-Methyl-L-histidine + beta-Alanine <=> ADP + Orthophosphate + beta-Alanyl-N(pi)-methyl-L-histidine,C00002 + C01152 + C00099 <=> C00008 + C00009 + C01262,FALSE,6.3.2.11,chr_3618,rn00340;rn00410
R11064,L-Anticapsin + L-Alanine + ATP <=> Bacilysin + Orthophosphate + ADP,C20941 + C00041 + C00002 <=> C20942 + C00009 + C00008,FALSE,6.3.2.49,chr_3626,rn00998
R01701,3-Methyl-2-oxobutanoic acid + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine + CO2,C00141 + C15972 <=> C15977 + C00011,TRUE,1.2.4.4,( chr_3667 and chr_3668 ),
R01702,4-Methyl-2-oxopentanoate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine + CO2,C00233 + C15972 <=> C15975 + C00011,TRUE,1.2.4.4,( chr_3667 and chr_3668 ),
R04225,(S)-3-Methyl-2-oxopentanoic acid + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine + CO2,C00671 + C15972 <=> C15979 + C00011,TRUE,1.2.4.4,( chr_3667 and chr_3668 ),
R07599,3-Methyl-2-oxobutanoic acid + Thiamin diphosphate <=> 2-Methyl-1-hydroxypropyl-ThPP + CO2,C00141 + C00068 <=> C15976 + C00011,FALSE,1.2.4.4,( chr_3667 and chr_3668 ),rn00280;rn00785
R07600,2-Methyl-1-hydroxypropyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine + Thiamin diphosphate,C15976 + C15972 <=> C15977 + C00068,FALSE,1.2.4.4,( chr_3667 and chr_3668 ),rn00280;rn00785
R07601,4-Methyl-2-oxopentanoate + Thiamin diphosphate <=> 3-Methyl-1-hydroxybutyl-ThPP + CO2,C00233 + C00068 <=> C15974 + C00011,FALSE,1.2.4.4,( chr_3667 and chr_3668 ),rn00280;rn00785
R07602,3-Methyl-1-hydroxybutyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine + Thiamin diphosphate,C15974 + C15972 <=> C15975 + C00068,FALSE,1.2.4.4,( chr_3667 and chr_3668 ),rn00280;rn00785
R07603,(S)-3-Methyl-2-oxopentanoic acid + Thiamin diphosphate <=> 2-Methyl-1-hydroxybutyl-ThPP + CO2,C00671 + C00068 <=> C15978 + C00011,FALSE,1.2.4.4,( chr_3667 and chr_3668 ),rn00280;rn00785
R07604,2-Methyl-1-hydroxybutyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine + Thiamin diphosphate,C15978 + C15972 <=> C15979 + C00068,FALSE,1.2.4.4,( chr_3667 and chr_3668 ),rn00280;rn00785
R10996,2-Oxobutanoate + Thiamin diphosphate <=> 2-(alpha-Hydroxypropyl)thiamine diphosphate + CO2,C00109 + C00068 <=> C21017 + C00011,FALSE,1.2.4.4,( chr_3667 and chr_3668 ),rn00640
R10997,2-(alpha-Hydroxypropyl)thiamine diphosphate + Enzyme N6-(lipoyl)lysine <=> Enzyme N6-(S-propyldihydrolipoyl)lysine + Thiamin diphosphate,C21017 + C15972 <=> C21018 + C00068,FALSE,1.2.4.4,( chr_3667 and chr_3668 ),rn00640
R12161,"5-Amino-6-(1-D-ribitylamino)uracil + L-Tyrosine + S-Adenosyl-L-methionine <=> 5-Amino-5-(4-hydroxybenzyl)-6-(D-ribitylimino)-5,6-dihydrouracil + Iminoglycine + L-Methionine + 5'-Deoxyadenosine",C04732 + C00082 + C00019 <=> C21971 + C15809 + C00073 + C05198,FALSE,2.5.1.147,chr_3731,rn00680
R12162,"5-Amino-5-(4-hydroxybenzyl)-6-(D-ribitylimino)-5,6-dihydrouracil + S-Adenosyl-L-methionine <=> 7,8-Didemethyl-8-hydroxy-5-deazariboflavin + Ammonia + L-Methionine + 5'-Deoxyadenosine",C21971 + C00019 <=> C19154 + C00014 + C00073 + C05198,FALSE,4.3.1.32,chr_3731,rn00680
R04464,"5,10-Methylenetetrahydromethanopterin + Reduced coenzyme F420 <=> 5-Methyl-5,6,7,8-tetrahydromethanopterin + Coenzyme F420",C04377 + C01080 <=> C04488 + C00876,FALSE,1.5.98.2,chr_3736,rn00680
R11130,3-(Methylthio)propanoyl-CoA + Acceptor <=> 3-(Methylthio)acryloyl-CoA + Reduced acceptor,C20870 + C00028 <=> C20955 + C00030,FALSE,1.3.99.41,chr_3749,rn00920
R01364,Acetoacetate + Fumarate <=> 4-Fumarylacetoacetate + H2O,C00164 + C00122 <=> C01061 + C00001,FALSE,3.7.1.2,( chr_3771 and chr_4113 ),rn00350;rn00643
R10504,"meso-2,3-Butanediol + NAD+ <=> (S)-Acetoin + NADH + H+",C20657 + C00003 <=> C01769 + C00004 + C00080,TRUE,1.1.1.-,chr_3826,rn00650
R05727,Quinine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 3-Hydroxyquinine + [Oxidized NADPH---hemoprotein reductase] + H2O,C06526 + C03024 + C00007 <=> C07344 + C03161 + C00001,TRUE,1.14.14.55,chr_3858,
R07000,"Naphthalene + NADPH + Oxygen + H+ <=> (1R,2S)-Naphthalene 1,2-oxide + NADP+ + H2O",C00829 + C00005 + C00007 + C00080 <=> C14786 + C00006 + C00001,FALSE,1.14.14.1;1.14.14.-,( chr_3858 and chr_4975 ),rn00980
R07001,"Naphthalene + NADPH + Oxygen + H+ <=> (1S,2R)-Naphthalene 1,2-oxide + NADP+ + H2O",C00829 + C00005 + C00007 + C00080 <=> C14787 + C00006 + C00001,FALSE,1.14.14.1;1.14.14.-,( chr_3858 and chr_4975 ),rn00980
R07055,Linoleate + Oxygen + NADPH + H+ <=> 9(10)-EpOME + NADP+ + H2O,C01595 + C00007 + C00005 + C00080 <=> C14825 + C00006 + C00001,FALSE,1.14.14.1;1.14.14.-,chr_3858,rn00591
R07056,Linoleate + Oxygen + NADPH + H+ <=> 12(13)-EpOME + NADP+ + H2O,C01595 + C00007 + C00005 + C00080 <=> C14826 + C00006 + C00001,FALSE,1.14.14.1;1.14.14.-,chr_3858,rn00591
R07079,"Benzo[a]pyrene + NADPH + Oxygen + H+ <=> Benzo[a]pyrene-9,10-oxide + NADP+ + H2O",C07535 + C00005 + C00007 + C00080 <=> C14849 + C00006 + C00001,FALSE,1.14.14.1;1.14.14.-,chr_3858,rn00980
R07080,"Benzo[a]pyrene + NADPH + Oxygen + H+ <=> Benzo[a]pyrene-7,8-oxide + NADP+ + H2O",C07535 + C00005 + C00007 + C00080 <=> C14850 + C00006 + C00001,FALSE,1.14.14.1;1.14.14.-,chr_3858,rn00980
R07081,"Benzo[a]pyrene + NADPH + Oxygen + H+ <=> Benzo[a]pyrene-4,5-oxide + NADP+ + H2O",C07535 + C00005 + C00007 + C00080 <=> C14851 + C00006 + C00001,FALSE,1.14.14.1;1.14.14.-,chr_3858,rn00980
R07085,"Benzo[a]pyrene-7,8-dihydrodiol + NADPH + Oxygen + H+ <=> Benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide + NADP+ + H2O",C14852 + C00005 + C00007 + C00080 <=> C14853 + C00006 + C00001,FALSE,1.14.14.1;1.14.14.-,chr_3858,rn00980
R07087,"9-Hydroxybenzo[a]pyrene + NADPH + Oxygen + H+ <=> 9-Hydroxybenzo[a]pyrene-4,5-oxide + NADP+ + H2O",C14556 + C00005 + C00007 + C00080 <=> C14854 + C00006 + C00001,FALSE,1.14.14.1;1.14.14.-,chr_3858,rn00980
R08256,Irinotecan <=> APC,C16641 <=> C16542,TRUE,1.14.14.-,chr_3858,rn00983
R08257,Irinotecan + 2 [Reduced NADPH---hemoprotein reductase] + 2 Oxygen <=> NPC + Glutaral + 2 [Oxidized NADPH---hemoprotein reductase] + 2 H2O,C16641 + 2 C03024 + 2 C00007 <=> C16543 + C12518 + 2 C03161 + 2 C00001,TRUE,1.14.14.-,chr_3858,rn00983
R08264,Codeine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Norcodeine + Formaldehyde + [Oxidized NADPH---hemoprotein reductase] + H2O,C06174 + C03024 + C00007 <=> C16576 + C00067 + C03161 + C00001,FALSE,1.14.14.-,chr_3858,rn00982
R08268,Tamoxifen <=> N-Desmethyltamoxifen,C07108 <=> C16546,FALSE,1.14.14.-,chr_3858,rn00982
R08269,Hydroxytamoxifen <=> Endoxifen,C05011 <=> C16547,FALSE,1.14.14.-,chr_3858,rn00982
R08271,Tamoxifen + NADPH + Oxygen + H+ <=> alpha-Hydroxytamoxifen + NADP+ + H2O,C07108 + C00005 + C00007 + C00080 <=> C16544 + C00006 + C00001,FALSE,1.14.14.-,chr_3858,rn00982
R08272,"N-Desmethyltamoxifen <=> N,N-Didesmethyltamoxifen",C16546 <=> C16548,FALSE,1.14.14.-,chr_3858,rn00982
R08274,N-Desmethyltamoxifen + NADPH + H+ + Oxygen <=> alpha-Hydroxy-N-desmethyltamoxifen + H2O + NADP+,C16546 + C00005 + C00080 + C00007 <=> C16549 + C00001 + C00006,FALSE,1.14.14.-,chr_3858,rn00982
R08275,Cyclophosphamide + NADPH + H+ + Oxygen <=> 4-Hydroxycyclophosphamide + NADP+ + H2O,C07888 + C00005 + C00080 + C00007 <=> C07643 + C00006 + C00001,FALSE,1.14.14.-,chr_3858,rn00982
R08276,Cyclophosphamide <=> Dechloroethylcyclophosphamide + Chloroacetaldehyde,C07888 <=> C16550 + C06754,FALSE,1.14.14.-,chr_3858,rn00982
R08277,4-Hydroxycyclophosphamide <=> 4-Ketocyclophosphamide,C07643 <=> C07644,FALSE,1.14.14.-,chr_3858,rn00982
R08285,Ifosfamide + NADPH + H+ + Oxygen <=> 4-Hydroxyifosfamide + NADP+ + H2O,C07047 + C00005 + C00080 + C00007 <=> C16553 + C00006 + C00001,FALSE,1.14.14.-,chr_3858,rn00982
R08293,Lidocaine <=> Monoethylglycinexylidide,C07073 <=> C16561,FALSE,1.14.14.1;1.14.14.-,chr_3858,rn00982
R08294,Lidocaine + NADPH + Oxygen + H+ <=> 3-Hydroxylidocaine + NADP+ + H2O,C07073 + C00005 + C00007 + C00080 <=> C16560 + C00006 + C00001,FALSE,1.14.14.1;1.14.14.-,chr_3858,rn00982
R08303,Felbamate + NADPH + H+ + Oxygen <=> p-Hydroxyfelbamate + NADP+ + H2O,C07501 + C00005 + C00080 + C00007 <=> C16584 + C00006 + C00001,FALSE,1.14.14.-,chr_3858,rn00982
R08304,Felbamate + NADPH + H+ + Oxygen <=> 2-Hydroxyfelbamate + NADP+ + H2O,C07501 + C00005 + C00080 + C00007 <=> C16582 + C00006 + C00001,FALSE,1.14.14.-,chr_3858,rn00982
R08312,"Carbamazepine + NADPH + H+ + Oxygen <=> Carbamazepine-10,11-epoxide + NADP+ + H2O",C06868 + C00005 + C00080 + C00007 <=> C07496 + C00006 + C00001,FALSE,1.14.14.1;1.14.14.-,chr_3858,rn00982
R08313,Carbamazepine + NADPH + H+ + Oxygen <=> 3-Hydroxycarbamazepine + NADP+ + H2O,C06868 + C00005 + C00080 + C00007 <=> C16602 + C00006 + C00001,FALSE,1.14.14.-,chr_3858,rn00982
R08318,2-Hydroxycarbamazepine <=> 2-Hydroxyiminostilbene,C16601 <=> C16604,FALSE,1.14.14.-,chr_3858,rn00982
R08339,"Methadone <=> 2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine",C07163 <=> C16659,FALSE,1.14.14.-,chr_3858,rn00982
R08340,"2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine <=> 2-Ethyl-5-methyl-3,3-diphenyl-1-pyrroline",C16659 <=> C16660,FALSE,1.14.14.-,chr_3858,rn00982
R08341,Levomethadyl acetate <=> L-alpha-Acetyl-N-normethadol,C08012 <=> C16661,FALSE,1.14.14.-,chr_3858,rn00982
R08342,"L-alpha-Acetyl-N-normethadol <=> L-alpha-Acetyl-N,N-dinormethadol",C16661 <=> C16662,FALSE,1.14.14.-,chr_3858,rn00982
R08343,Citalopram <=> Demethylcitalopram,C07572 <=> C16608,FALSE,1.14.14.1;1.14.14.-,chr_3858,rn00982
R09423,4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone + Oxygen + NADPH + H+ <=> 4-Hydroxy-4-(methylnitrosoamino)-1-(3-pyridinyl)-1-butanone + H2O + NADP+,C16453 + C00007 + C00005 + C00080 <=> C19566 + C00001 + C00006,FALSE,1.14.14.1;1.14.14.-,( chr_3858 and chr_4975 ),rn00980
R00095,NAD+ + 2 Ascorbate <=> NADH + 2 Monodehydroascorbate + H+,C00003 + 2 C00072 <=> C00004 + 2 C01041 + C00080,FALSE,1.6.5.4,chr_3859,rn00053
R00524,Formamide + H2O <=> Formate + Ammonia,C00488 + C00001 <=> C00058 + C00014,FALSE,3.5.1.49,chr_3871,rn00460;rn00630;rn00910
R12217,(S)-2-Hydroxyglutarate + Quinone <=> 2-Oxoglutarate + Hydroquinone,C03196 + C15602 <=> C00026 + C15603,FALSE,1.1.5.13,chr_3972,rn00310
R05554,(S)-Ureidoglycine + H2O <=> (S)-Ureidoglycolate + Ammonia,C02091 + C00001 <=> C00603 + C00014,FALSE,3.5.3.26,chr_3980,rn00230
R00192,S-Adenosyl-L-homocysteine + H2O <=> Adenosine + L-Homocysteine,C00021 + C00001 <=> C00212 + C00155,FALSE,3.13.2.1,chr_4003,rn00270;rn00670
R00987,L-Kynurenine + H2O <=> Anthranilate + L-Alanine,C00328 + C00001 <=> C00108 + C00041,FALSE,3.7.1.3,chr_4041,rn00380
R02668,3-Hydroxy-L-kynurenine + H2O <=> 3-Hydroxyanthranilate + L-Alanine,C03227 + C00001 <=> C00632 + C00041,FALSE,3.7.1.3,chr_4041,rn00380
R03936,L-Formylkynurenine + H2O <=> Formylanthranilate + L-Alanine,C02700 + C00001 <=> C05653 + C00041,FALSE,3.7.1.3,chr_4041,rn00380
R00678,L-Tryptophan + Oxygen <=> L-Formylkynurenine,C00078 + C00007 <=> C02700,FALSE,1.13.11.11;1.13.11.52,chr_4043,rn00380
R00945,"5,10-Methylenetetrahydrofolate + Glycine + H2O <=> Tetrahydrofolate + L-Serine",C00143 + C00037 + C00001 <=> C00101 + C00065,TRUE,2.1.2.1,chr_4051,rn00260;rn00460;rn00630;rn00670;rn00680
R09099,"L-Serine + 5,6,7,8-Tetrahydromethanopterin <=> 5,10-Methylenetetrahydromethanopterin + Glycine + H2O",C00065 + C01217 <=> C04377 + C00037 + C00001,FALSE,2.1.2.1,chr_4051,rn00680
R00610,Sarcosine + H2O + Oxygen <=> Glycine + Formaldehyde + Hydrogen peroxide,C00213 + C00001 + C00007 <=> C00037 + C00067 + C00027,FALSE,1.5.3.1,( chr_4052 and chr_4053 and chr_4054 and chr_4055 ),rn00260
R12967,"Sarcosine + Tetrahydrofolate + Oxygen <=> Glycine + 5,10-Methylenetetrahydrofolate + Hydrogen peroxide",C00213 + C00101 + C00007 <=> C00037 + C00143 + C00027,FALSE,1.5.3.24,( chr_4052 and chr_4053 and chr_4054 and chr_4055 ),rn00260
R00590,L-Serine <=> Dehydroalanine + H2O,C00065 <=> C02218 + C00001,FALSE,4.3.1.17,chr_4064,rn00270
R00944,10-Formyltetrahydrofolate + H2O <=> Formate + Tetrahydrofolate,C00234 + C00001 <=> C00058 + C00101,FALSE,3.5.1.10,chr_4065,rn00630;rn00670
R12425,[Glycine cleavage system H]-N6-octanoyl-L-lysine + Lipoyl-carrier protein E2 <=> Glycine cleavage system H + [Lipoyl-carrier protein E2]-N6-octanoyl-L-lysine,C22159 + C22158 <=> C22157 + C22160,FALSE,2.3.1.204,chr_4081,rn00785
R12432,Dihydrolipoylprotein + Lipoyl-carrier protein E2 <=> Glycine cleavage system H + Enzyme N6-(dihydrolipoyl)lysine,C02972 + C22158 <=> C22157 + C15973,FALSE,,chr_4081,rn00785
R00894,ATP + L-Glutamate + L-Cysteine <=> ADP + Orthophosphate + gamma-L-Glutamyl-L-cysteine,C00002 + C00025 + C00097 <=> C00008 + C00009 + C00669,FALSE,6.3.2.2,( chr_4095 and chr_4604 ),rn00480
R02519,Homogentisate + Oxygen <=> 4-Maleylacetoacetate,C00544 + C00007 <=> C01036,FALSE,1.13.11.5,chr_4111,rn00350;rn00643
R00026,Cellobiose + H2O <=> 2 beta-D-Glucose,C00185 + C00001 <=> 2 C00221,TRUE,3.2.1.21,chr_4114,
R00306,Cellobiose + H2O <=> 2 D-Glucose,C00185 + C00001 <=> 2 C00031,FALSE,3.2.1.21;3.2.1.74,chr_4114,rn00500
R02558,Prunasin + H2O <=> Mandelonitrile + D-Glucose,C00844 + C00001 <=> C00561 + C00031,FALSE,3.2.1.21;3.2.1.118,chr_4114,rn00460
R02887,Cellodextrin + (n-2) H2O <=> (n-2) D-Glucose + Cellobiose,C01898 + C00001 <=> C00031 + C00185,FALSE,3.2.1.21;3.2.1.74,chr_4114,rn00500
R02985,Prunasin + D-Glucose <=> Amygdalin + H2O,C00844 + C00031 <=> C08325 + C00001,FALSE,3.2.1.21;3.2.1.117,chr_4114,rn00460
R03527,beta-D-Glucoside + H2O <=> D-Glucose + ROH,C00963 + C00001 <=> C00031 + C01335,FALSE,3.2.1.21,chr_4114,rn00500
R04949,Cyanoglycoside + H2O <=> Cyanohydrin + D-Glucose,C05713 + C00001 <=> C05712 + C00031,TRUE,3.2.1.21,chr_4114,
R04998,cis-beta-D-Glucosyl-2-hydroxycinnamate + H2O <=> cis-2-Hydroxycinnamate + D-Glucose,C05839 + C00001 <=> C05838 + C00031,FALSE,3.2.1.21,chr_4114,rn00999
R10035,Dhurrin + H2O <=> (S)-4-Hydroxymandelonitrile + beta-D-Glucose,C05143 + C00001 <=> C03742 + C00221,FALSE,3.2.1.21,chr_4114,rn00460
R10039,Lotaustralin + H2O <=> (2R)-2-Hydroxy-2-methylbutanenitrile + beta-D-Glucose,C08334 + C00001 <=> C18796 + C00221,FALSE,3.2.1.21,chr_4114,rn00460
R10040,Linamarin + H2O <=> Acetone cyanohydrin + beta-D-Glucose,C01594 + C00001 <=> C02659 + C00221,FALSE,3.2.1.21,chr_4114,rn00460
R13051,Daidzin + H2O <=> Daidzein + beta-D-Glucose,C10216 + C00001 <=> C10208 + C00221,FALSE,3.2.1.21,chr_4114,rn00946
R13052,Genistin + H2O <=> Genistein + beta-D-Glucose,C09126 + C00001 <=> C06563 + C00221,FALSE,3.2.1.21,chr_4114,rn00946
R13065,Isoquercitrin + H2O <=> Quercetin + beta-D-Glucose,C05623 + C00001 <=> C00389 + C00221,FALSE,3.2.1.21,chr_4114,rn00946
R13081,Naringenin 7-O-beta-D-glucoside + H2O <=> Naringenin + beta-D-Glucose,C09099 + C00001 <=> C00509 + C00221,FALSE,3.2.1.21,chr_4114,rn00946
R01152,N-Carbamoylputrescine + H2O <=> Putrescine + CO2 + Ammonia,C00436 + C00001 <=> C00134 + C00011 + C00014,FALSE,3.5.1.53,chr_4150,rn00330
R02050,(R)-3-Amino-2-methylpropanoate + Pyruvate <=> 2-Methyl-3-oxopropanoate + L-Alanine,C01205 + C00022 <=> C00349 + C00041,TRUE,2.6.1.40,chr_4151,rn00280
R10992,L-Alanine + 2-Oxobutanoate <=> Pyruvate + (S)-2-Aminobutanoate,C00041 + C00109 <=> C00022 + C02356,TRUE,2.6.1.44,chr_4151,rn00270
R02269,"5,6-Dihydrouracil + H2O <=> 3-Ureidopropionate",C00429 + C00001 <=> C02642,TRUE,3.5.2.2,chr_4152,rn00240;rn00410;rn00770
R03055,"(R)-5,6-Dihydrothymine + H2O <=> (R)-3-Ureidoisobutyrate",C21028 + C00001 <=> C21029,TRUE,3.5.2.2,chr_4152,rn00240
R08227,"5,6-Dihydro-5-fluorouracil + H2O <=> alpha-Fluoro-beta-ureidopropionic acid",C16630 + C00001 <=> C16631,FALSE,3.5.2.2,chr_4152,rn00983
R01320,S-Adenosyl-L-methionine + Phosphatidyl-N-dimethylethanolamine <=> S-Adenosyl-L-homocysteine + Phosphatidylcholine,C00019 + C04308 <=> C00021 + C00157,FALSE,2.1.1.16;2.1.1.71,chr_4161,rn00564
R02056,S-Adenosyl-L-methionine + Phosphatidylethanolamine <=> S-Adenosyl-L-homocysteine + Phosphatidyl-N-methylethanolamine,C00019 + C00350 <=> C00021 + C01241,FALSE,2.1.1.17,chr_4161,rn00564
R03424,S-Adenosyl-L-methionine + Phosphatidyl-N-methylethanolamine <=> S-Adenosyl-L-homocysteine + Phosphatidyl-N-dimethylethanolamine,C00019 + C01241 <=> C00021 + C04308,FALSE,2.1.1.16;2.1.1.71,chr_4161,rn00564
R01324,Citrate <=> Isocitrate,C00158 <=> C00311,TRUE,4.2.1.3,chr_4162,
R01325,Citrate <=> cis-Aconitate + H2O,C00158 <=> C00417 + C00001,TRUE,4.2.1.3,chr_4162,rn00020;rn00630;rn00720
R01900,Isocitrate <=> cis-Aconitate + H2O,C00311 <=> C00417 + C00001,TRUE,4.2.1.3,chr_4162,rn00020;rn00630;rn00720
R03165,Hydroxymethylbilane <=> Uroporphyrinogen III + H2O,C01024 <=> C01051 + C00001,FALSE,4.2.1.75,( chr_4167 and chr_7730 ),rn00860
R00787,Ammonia + 3 NAD+ + 2 H2O <=> Nitrite + 3 NADH + 3 H+,C00014 + 3 C00003 + 2 C00001 <=> C00088 + 3 C00004 + 3 C00080,FALSE,1.7.1.4;1.7.1.15,( chr_4168 and chr_4169 ),rn00910
R02000,2 Reduced rubredoxin + NAD+ + H+ <=> 2 Oxidized rubredoxin + NADH,2 C00340 + C00003 + C00080 <=> 2 C00435 + C00004,FALSE,1.18.1.1;1.18.1.3;1.18.1.4,( chr_4170 and chr_7409 ),rn00071
R01403,"Acyl-[acyl-carrier protein] + NAD+ <=> trans-2,3-Dehydroacyl-[acyl-carrier protein] + NADH + H+",C00173 + C00003 <=> C00693 + C00004 + C00080,TRUE,1.3.1.9,chr_4185,rn00061
R01404,"Acyl-[acyl-carrier protein] + NADP+ <=> trans-2,3-Dehydroacyl-[acyl-carrier protein] + NADPH + H+",C00173 + C00006 <=> C00693 + C00005 + C00080,TRUE,1.3.1.10;1.3.1.39;1.3.1.104;1.3.1.-,( chr_4185 and chr_5497 ),rn00061
R04429,Butyryl-[acp] + NAD+ <=> But-2-enoyl-[acyl-carrier protein] + NADH + H+,C05745 + C00003 <=> C04246 + C00004 + C00080,TRUE,1.3.1.9;2.3.1.-,chr_4185,rn00061
R04430,Butyryl-[acp] + NADP+ <=> But-2-enoyl-[acyl-carrier protein] + NADPH + H+,C05745 + C00006 <=> C04246 + C00005 + C00080,TRUE,1.3.1.10;1.3.1.39;1.3.1.104;1.3.1.-;2.3.1.85;2.3.1.86,( chr_4185 and chr_5497 ),rn00061
R04724,Dodecanoyl-[acyl-carrier protein] + NAD+ <=> trans-Dodec-2-enoyl-[acp] + NADH + H+,C05223 + C00003 <=> C05758 + C00004 + C00080,TRUE,1.3.1.9;2.3.1.-,chr_4185,rn00061
R04725,Dodecanoyl-[acyl-carrier protein] + NADP+ <=> trans-Dodec-2-enoyl-[acp] + NADPH + H+,C05223 + C00006 <=> C05758 + C00005 + C00080,TRUE,1.3.1.10;1.3.1.39;1.3.1.104;1.3.1.-;2.3.1.85;2.3.1.86,( chr_4185 and chr_5497 ),rn00061
R04955,Hexanoyl-[acp] + NAD+ <=> trans-Hex-2-enoyl-[acp] + NADH + H+,C05749 + C00003 <=> C05748 + C00004 + C00080,TRUE,1.3.1.9;2.3.1.-,chr_4185,rn00061
R04956,Hexanoyl-[acp] + NADP+ <=> trans-Hex-2-enoyl-[acp] + NADPH + H+,C05749 + C00006 <=> C05748 + C00005 + C00080,TRUE,1.3.1.10;1.3.1.39;1.3.1.104;1.3.1.-;2.3.1.85;2.3.1.86,( chr_4185 and chr_5497 ),rn00061
R04958,Octanoyl-[acp] + NAD+ <=> trans-Oct-2-enoyl-[acp] + NADH + H+,C05752 + C00003 <=> C05751 + C00004 + C00080,TRUE,1.3.1.9;2.3.1.-,chr_4185,rn00061
R04959,Octanoyl-[acp] + NADP+ <=> trans-Oct-2-enoyl-[acp] + NADPH + H+,C05752 + C00006 <=> C05751 + C00005 + C00080,TRUE,1.3.1.10;1.3.1.39;1.3.1.104;1.3.1.-;2.3.1.85;2.3.1.86,( chr_4185 and chr_5497 ),rn00061
R04961,Decanoyl-[acp] + NAD+ <=> trans-Dec-2-enoyl-[acp] + NADH + H+,C05755 + C00003 <=> C05754 + C00004 + C00080,TRUE,1.3.1.9;2.3.1.-,chr_4185,rn00061
R04962,Decanoyl-[acp] + NADP+ <=> trans-Dec-2-enoyl-[acp] + NADPH + H+,C05755 + C00006 <=> C05754 + C00005 + C00080,TRUE,1.3.1.10;1.3.1.39;1.3.1.104;1.3.1.-;2.3.1.85;2.3.1.86,( chr_4185 and chr_5497 ),rn00061
R04966,Tetradecanoyl-[acp] + NAD+ <=> trans-Tetradec-2-enoyl-[acp] + NADH + H+,C05761 + C00003 <=> C05760 + C00004 + C00080,TRUE,1.3.1.9;2.3.1.-,chr_4185,rn00061
R04967,Tetradecanoyl-[acp] + NADP+ <=> trans-Tetradec-2-enoyl-[acp] + NADPH + H+,C05761 + C00006 <=> C05760 + C00005 + C00080,TRUE,1.3.1.10;1.3.1.39;1.3.1.104;1.3.1.-;2.3.1.85;2.3.1.86,( chr_4185 and chr_5497 ),rn00061
R04969,Hexadecanoyl-[acp] + NAD+ <=> trans-Hexadec-2-enoyl-[acp] + NADH + H+,C05764 + C00003 <=> C05763 + C00004 + C00080,TRUE,1.3.1.9;2.3.1.-,chr_4185,rn00061
R04970,Hexadecanoyl-[acp] + NADP+ <=> trans-Hexadec-2-enoyl-[acp] + NADPH + H+,C05764 + C00006 <=> C05763 + C00005 + C00080,TRUE,1.3.1.10;1.3.1.39;1.3.1.104;1.3.1.-;2.3.1.85;2.3.1.86,( chr_4185 and chr_5497 ),rn00061
R07765,(2E)-Octadecenoyl-[acp] + NADH + H+ <=> Octadecanoyl-[acyl-carrier protein] + NAD+,C16221 + C00004 + C00080 <=> C04088 + C00003,TRUE,1.3.1.9;1.3.1.-;2.3.1.-,chr_4185,rn00061
R10118,Enoylglutaryl-[acp] methyl ester + NADPH + H+ <=> Glutaryl-[acp] methyl ester + NADP+,C20374 + C00005 + C00080 <=> C20375 + C00006,FALSE,1.3.1.10,chr_4185,rn00780
R10122,Enoylpimeloyl-[acp] methyl ester + NADPH + H+ <=> Pimeloyl-[acyl-carrier protein] methyl ester + NADP+,C20378 + C00005 + C00080 <=> C19846 + C00006,FALSE,1.3.1.10,chr_4185,rn00780
R00310,Protoporphyrin + Fe2+ <=> Heme + 2 H+,C02191 + C14818 <=> C00032 + 2 C00080,FALSE,4.98.1.1,chr_4186,rn00860
R11329,Fe-coproporphyrin III + 2 H+ <=> Coproporphyrin III + Fe2+,C21284 + 2 C00080 <=> C05770 + C14818,FALSE,4.99.1.9,chr_4186,rn00860
R12215,5-Aminopentanal + NAD+ + H2O <=> 5-Aminopentanoate + NADH + H+,C12455 + C00003 + C00001 <=> C00431 + C00004 + C00080,FALSE,1.2.1.19,chr_4196,rn00310
